blockNum,trialNum,trialType,condition,posture,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,cueFileName,stimuliFileName,correctAnswer,untimedTrials.thisRepN,untimedTrials.thisTrialN,untimedTrials.thisN,untimedTrials.thisIndex,selectIncorrectResponseSolid1.thisRepN,selectIncorrectResponseSolid1.thisTrialN,selectIncorrectResponseSolid1.thisN,selectIncorrectResponseSolid1.thisIndex,selectIncorrectResponseDashed1.thisRepN,selectIncorrectResponseDashed1.thisTrialN,selectIncorrectResponseDashed1.thisN,selectIncorrectResponseDashed1.thisIndex,timedTrials.thisRepN,timedTrials.thisTrialN,timedTrials.thisN,timedTrials.thisIndex,selectIncorrectResponseSolid2.thisRepN,selectIncorrectResponseSolid2.thisTrialN,selectIncorrectResponseSolid2.thisN,selectIncorrectResponseSolid2.thisIndex,selectTimeoutSolid2.thisRepN,selectTimeoutSolid2.thisTrialN,selectTimeoutSolid2.thisN,selectTimeoutSolid2.thisIndex,selectIncorrectResponseDashed2.thisRepN,selectIncorrectResponseDashed2.thisTrialN,selectIncorrectResponseDashed2.thisN,selectIncorrectResponseDashed2.thisIndex,selectTimeoutDashed2.thisRepN,selectTimeoutDashed2.thisTrialN,selectTimeoutDashed2.thisN,selectTimeoutDashed2.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_5.started,image_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_6.started,image_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_7.started,image_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image_8.started,image_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_9.started,image_9.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,image_10.started,image_10.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_11.started,image_11.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,utcTime,cue_untimed_image.started,cue_untimed_image.stopped,stimuli_untimed_image.started,stimuli_untimed_image.stopped,untimed_resp.keys,untimed_resp.corr,untimed_resp.rt,untimed_resp.started,untimed_resp.stopped,text_2.started,text_2.stopped,sound_1.started,sound_1.stopped,image_2.started,image_2.stopped,image_12.started,image_12.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_13.started,image_13.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,cue_timed_image.started,cue_timed_image.stopped,stimuli_timed_image.started,stimuli_timed_image.stopped,timed_resp.keys,timed_resp.corr,timed_resp.started,timed_resp.stopped,sound_3.started,sound_3.stopped,image_14.started,image_14.stopped,sound_4.started,sound_4.stopped,image_15.started,image_15.stopped,timed_resp.rt,participant,session,condition,date,expName,psychopyVersion,frameRate,
1,2,untimed,01,standing,switch,incongruant,solid,square,yellow,stimuli/solid-rectangle.png,stimuli/yellow-square.png,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474603.8099859,58.96713709831238,None,59.953559160232544,None,2,1,0.8696918487548828,59.953559160232544,None,60.8899941444397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
1,3,untimed,01,standing,noswitch,incongruant,solid,triangle,blue,stimuli/solid-rectangle.png,stimuli/blue-triangle.png,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474605.4170344,61.11307406425476,None,62.098772048950195,None,1,1,0.3283121585845947,62.098772048950195,None,62.504491090774536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
1,4,untimed,01,standing,switch,congruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474607.2237747,62.71091413497925,None,63.69651508331299,None,1,1,0.554373025894165,63.69651508331299,None,64.31214499473572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
1,5,untimed,01,standing,switch,incongruant,solid,square,yellow,stimuli/solid-rectangle.png,stimuli/yellow-square.png,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474609.6426537,64.51792311668396,None,65.50060820579529,None,2,1,1.1536040306091309,65.50060820579529,None,66.73005819320679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
1,6,untimed,01,standing,noswitch,congruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474611.6047835,66.93505001068115,None,67.91749405860901,None,1,0,0.6812059879302979,67.91749405860901,None,,,68.69394035339356,69.72481608390808,68.70446515083313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
1,6,untimed,01,standing,noswitch,congruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.72219610214233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
1,7,untimed,01,standing,switch,incongruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474619.1039503,73.90696716308594,None,74.88338899612427,None,1,1,1.2286591529846191,74.88338899612427,None,76.19895601272583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
1,8,untimed,01,standing,switch,incongruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474621.0323856,76.40652513504028,None,77.39137411117554,None,2,1,0.6425540447235107,77.39137411117554,None,78.13437104225159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
1,9,untimed,01,standing,noswitch,incongruant,solid,square,blue,stimuli/solid-rectangle.png,stimuli/blue-square.png,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474622.72919,78.33931612968445,None,79.33072400093079,None,1,1,0.37041401863098145,79.33072400093079,None,79.84556913375854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
1,10,untimed,01,standing,switch,incongruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474624.4494712,80.05922603607178,None,81.05191707611084,None,2,1,0.3792281150817871,81.05191707611084,None,81.56574201583862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,01,2021_Nov_09_1016,task-switching-replication,2021.2.3,59.997396582084185,
