blockNum,trialNum,trialType,condition,posture,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,cueFileName,stimuliFileName,correctAnswer,untimedTrials.thisRepN,untimedTrials.thisTrialN,untimedTrials.thisN,untimedTrials.thisIndex,selectIncorrectResponseSolid1.thisRepN,selectIncorrectResponseSolid1.thisTrialN,selectIncorrectResponseSolid1.thisN,selectIncorrectResponseSolid1.thisIndex,selectIncorrectResponseDashed1.thisRepN,selectIncorrectResponseDashed1.thisTrialN,selectIncorrectResponseDashed1.thisN,selectIncorrectResponseDashed1.thisIndex,timedTrials.thisRepN,timedTrials.thisTrialN,timedTrials.thisN,timedTrials.thisIndex,selectIncorrectResponseSolid2.thisRepN,selectIncorrectResponseSolid2.thisTrialN,selectIncorrectResponseSolid2.thisN,selectIncorrectResponseSolid2.thisIndex,selectTimeoutSolid2.thisRepN,selectTimeoutSolid2.thisTrialN,selectTimeoutSolid2.thisN,selectTimeoutSolid2.thisIndex,selectIncorrectResponseDashed2.thisRepN,selectIncorrectResponseDashed2.thisTrialN,selectIncorrectResponseDashed2.thisN,selectIncorrectResponseDashed2.thisIndex,selectTimeoutDashed2.thisRepN,selectTimeoutDashed2.thisTrialN,selectTimeoutDashed2.thisN,selectTimeoutDashed2.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_5.started,image_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_6.started,image_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_7.started,image_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image_8.started,image_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_9.started,image_9.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,image_10.started,image_10.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_11.started,image_11.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,utcTime,cue_untimed_image.started,cue_untimed_image.stopped,stimuli_untimed_image.started,stimuli_untimed_image.stopped,untimed_resp.keys,untimed_resp.corr,untimed_resp.rt,untimed_resp.started,untimed_resp.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,image_3.started,image_3.stopped,sound_1.started,sound_1.stopped,image_2.started,image_2.stopped,image_12.started,image_12.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_13.started,image_13.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,cue_timed_image.started,cue_timed_image.stopped,stimuli_timed_image.started,stimuli_timed_image.stopped,timed_resp.keys,timed_resp.corr,timed_resp.started,timed_resp.stopped,sound_4.started,sound_4.stopped,image_15.started,image_15.stopped,timed_resp.rt,participant,session,condition,date,expName,psychopyVersion,frameRate,
1,2,untimed,10,sitting,noswitch,congruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,1,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486231.8352313,92.02311110496521,None,93.00006413459778,None,2,0,0.23760008811950684,93.00006413459778,None,,,93.3280417919159,94.34381198883057,93.3398699760437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
1,2,untimed,10,sitting,noswitch,congruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.34548091888428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
1,3,untimed,10,sitting,switch,incongruant,solid,square,yellow,stimuli/solid-rectangle.png,stimuli/yellow-square.png,2,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486238.3413765,98.55397701263428,None,99.54053497314453,None,1,0,0.23521900177001953,99.54053497314453,None,,,,,,,99.84599709510803,100.86602592468262,99.8607189655304,None,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
1,3,untimed,10,sitting,switch,incongruant,solid,square,yellow,stimuli/solid-rectangle.png,stimuli/yellow-square.png,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.88266801834106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
1,4,untimed,10,sitting,switch,congruant,dashed,triangle,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-triangle.png,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486244.855189,105.0782060623169,None,106.05413103103638,None,2,1,0.20071196556091309,106.05413103103638,None,106.36898612976074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
1,5,untimed,10,sitting,noswitch,congruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486246.5206208,106.59276795387268,None,107.56885409355164,None,2,1,0.32974886894226074,107.56885409355164,None,108.03428506851196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
1,6,untimed,10,sitting,noswitch,congruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486248.134056,108.2589521408081,None,109.2326729297638,None,2,1,0.280102014541626,109.2326729297638,None,109.64793395996094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
1,7,untimed,10,sitting,switch,congruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486249.9016027,109.87142300605774,None,110.8477430343628,None,2,1,0.4328930377960205,110.8477430343628,None,111.41537714004517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
1,8,untimed,10,sitting,switch,incongruant,dashed,square,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-square.png,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486251.617374,111.6389229297638,None,112.61504912376404,None,1,1,0.430649995803833,112.61504912376404,None,113.13078808784485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
1,9,untimed,10,sitting,switch,incongruant,solid,square,yellow,stimuli/solid-rectangle.png,stimuli/yellow-square.png,2,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486253.2319937,113.35468101501465,None,114.33043193817139,None,1,0,0.3212277889251709,114.33043193817139,None,,,,,,,114.73660707473755,115.7565770149231,114.75074696540833,None,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,10,2021_Nov_09_1329,task-switching-replication,2021.2.3,60.012075946831494,
