blockNum,trialNum,trialType,condition,posture,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,cueFileName,stimuliFileName,correctAnswer,untimedTrials.thisRepN,untimedTrials.thisTrialN,untimedTrials.thisN,untimedTrials.thisIndex,selectIncorrectResponseSolid1.thisRepN,selectIncorrectResponseSolid1.thisTrialN,selectIncorrectResponseSolid1.thisN,selectIncorrectResponseSolid1.thisIndex,selectIncorrectResponseDashed1.thisRepN,selectIncorrectResponseDashed1.thisTrialN,selectIncorrectResponseDashed1.thisN,selectIncorrectResponseDashed1.thisIndex,timedTrials.thisRepN,timedTrials.thisTrialN,timedTrials.thisN,timedTrials.thisIndex,selectIncorrectResponseSolid2.thisRepN,selectIncorrectResponseSolid2.thisTrialN,selectIncorrectResponseSolid2.thisN,selectIncorrectResponseSolid2.thisIndex,selectTimeoutSolid2.thisRepN,selectTimeoutSolid2.thisTrialN,selectTimeoutSolid2.thisN,selectTimeoutSolid2.thisIndex,selectIncorrectResponseDashed2.thisRepN,selectIncorrectResponseDashed2.thisTrialN,selectIncorrectResponseDashed2.thisN,selectIncorrectResponseDashed2.thisIndex,selectTimeoutDashed2.thisRepN,selectTimeoutDashed2.thisTrialN,selectTimeoutDashed2.thisN,selectTimeoutDashed2.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_5.started,image_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_6.started,image_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_7.started,image_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image_8.started,image_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_9.started,image_9.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,image_10.started,image_10.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_11.started,image_11.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,utcTime,cue_untimed_image.started,cue_untimed_image.stopped,stimuli_untimed_image.started,stimuli_untimed_image.stopped,untimed_resp.keys,untimed_resp.corr,untimed_resp.rt,untimed_resp.started,untimed_resp.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,image_3.started,image_3.stopped,sound_1.started,sound_1.stopped,image_2.started,image_2.stopped,image_12.started,image_12.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_13.started,image_13.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,cue_timed_image.started,cue_timed_image.stopped,stimuli_timed_image.started,stimuli_timed_image.stopped,timed_resp.keys,timed_resp.corr,timed_resp.started,timed_resp.stopped,sound_3.started,sound_3.stopped,image_14.started,image_14.stopped,timed_resp.rt,sound_4.started,sound_4.stopped,image_15.started,image_15.stopped,participant,session,condition,date,expName,psychopyVersion,frameRate,
1,2,untimed,14,sitting,noswitch,congruant,solid,triangle,blue,stimuli/solid-rectangle.png,stimuli/blue-triangle.png,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486681.0901241,16.837904930114746,None,17.821232080459595,None,2,1,0.36879992485046387,17.821232080459595,None,18.257373094558716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
1,3,untimed,14,sitting,noswitch,incongruant,solid,square,yellow,stimuli/solid-rectangle.png,stimuli/yellow-square.png,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486683.0089562,18.463773012161255,None,19.449475049972534,None,1,1,0.6397099494934082,19.449475049972534,None,20.17532992362976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
1,4,untimed,14,sitting,noswitch,incongruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486685.2661464,20.38013505935669,None,21.3666250705719,None,2,1,1.003816843032837,21.3666250705719,None,22.44156813621521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
1,5,untimed,14,sitting,noswitch,congruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486686.9570615,22.649152040481567,None,23.635536909103394,None,2,1,0.3765110969543457,23.635536909103394,None,24.14662194252014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
1,6,untimed,14,sitting,noswitch,incongruant,solid,square,blue,stimuli/solid-rectangle.png,stimuli/blue-square.png,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486688.9778543,24.369548082351685,None,25.3433940410614,None,1,1,0.7118968963623047,25.3433940410614,None,26.16608214378357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
1,7,untimed,14,sitting,switch,congruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,1,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486691.1378744,26.389188051223755,None,27.382002115249634,None,2,0,0.8489220142364502,27.382002115249634,None,,,28.315383553504944,29.350438117980957,28.338552951812744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
1,7,untimed,14,sitting,switch,congruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.358027935028076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
1,8,untimed,14,sitting,noswitch,congruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486697.9997199,33.55522799491882,None,34.52608609199524,None,1,1,0.5420389175415039,34.52608609199524,None,35.20229196548462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
1,9,untimed,14,sitting,noswitch,incongruant,dashed,triangle,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-triangle.png,2,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486699.5800796,35.431325912475586,None,36.401447057724,None,2,1,0.25195789337158203,36.401447057724,None,36.782532930374146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
1,10,untimed,14,sitting,noswitch,incongruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486701.3394783,37.01213812828064,None,37.98189401626587,None,1,1,0.41075992584228516,37.98189401626587,None,38.54200506210327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,14,2021_Nov_09_1337,task-switching-replication,2021.2.3,59.987271148843185,
