blockNum,trialNum,trialType,condition,posture,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,cueFileName,stimuliFileName,correctAnswer,untimedTrials.thisRepN,untimedTrials.thisTrialN,untimedTrials.thisN,untimedTrials.thisIndex,selectSolid1.thisRepN,selectSolid1.thisTrialN,selectSolid1.thisN,selectSolid1.thisIndex,selectDashed1.thisRepN,selectDashed1.thisTrialN,selectDashed1.thisN,selectDashed1.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_5.started,image_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_6.started,image_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_7.started,image_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image_8.started,image_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_9.started,image_9.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,image_10.started,image_10.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_11.started,image_11.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,cue_untimed_image.started,cue_untimed_image.stopped,stimuli_untimed_image.started,stimuli_untimed_image.stopped,untimed_resp.keys,untimed_resp.corr,untimed_resp.rt,untimed_resp.started,untimed_resp.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,image_3.started,image_3.stopped,participant,session,condition,date,expName,psychopyVersion,frameRate,
1,3,untimed,09,sitting,noswitch,congruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.97420597076416,None,,,,,1000,001,09,2021_Nov_02_1727,task-switching-replication,2021.2.3,59.98512636866012,
1,4,untimed,09,sitting,noswitch,incongruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.15349292755127,None,71.14642000198364,None,1,1,5.027261972427368,71.14642000198364,None,76.28385806083679,None,,,,,1000,001,09,2021_Nov_02_1727,task-switching-replication,2021.2.3,59.98512636866012,
1,5,untimed,09,sitting,switch,incongruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.48779487609863,None,77.4805109500885,None,2,1,1.1843290328979492,77.4805109500885,None,78.76041984558105,None,,,,,1000,001,09,2021_Nov_02_1727,task-switching-replication,2021.2.3,59.98512636866012,
1,6,untimed,09,sitting,noswitch,congruant,solid,square,yellow,stimuli/solid-rectangle.png,stimuli/yellow-square.png,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.98705005645752,None,79.98090696334839,None,2,1,0.5623059272766113,79.98090696334839,None,80.62725496292114,None,,,,,1000,001,09,2021_Nov_02_1727,task-switching-replication,2021.2.3,59.98512636866012,
1,7,untimed,09,sitting,noswitch,incongruant,solid,square,blue,stimuli/solid-rectangle.png,stimuli/blue-square.png,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.83219289779663,None,81.8252420425415,None,1,1,0.34952712059020996,81.8252420425415,None,82.30477595329285,None,,,,,1000,001,09,2021_Nov_02_1727,task-switching-replication,2021.2.3,59.98512636866012,
1,8,untimed,09,sitting,noswitch,congruant,solid,triangle,blue,stimuli/solid-rectangle.png,stimuli/blue-triangle.png,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.51533198356628,None,83.51611304283142,None,1,1,0.48840999603271484,83.51611304283142,None,84.13146901130676,None,,,,,1000,001,09,2021_Nov_02_1727,task-switching-replication,2021.2.3,59.98512636866012,
1,9,untimed,09,sitting,noswitch,congruant,solid,triangle,blue,stimuli/solid-rectangle.png,stimuli/blue-triangle.png,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.36096692085266,None,85.36085104942322,None,1,1,0.41772007942199707,85.36085104942322,None,85.91637897491455,None,,,,,1000,001,09,2021_Nov_02_1727,task-switching-replication,2021.2.3,59.98512636866012,
1,10,untimed,09,sitting,switch,incongruant,dashed,square,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-square.png,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.14584994316101,None,87.14549398422241,None,2,1,0.9322340488433838,87.14549398422241,None,88.1778769493103,None,,,,,1000,001,09,2021_Nov_02_1727,task-switching-replication,2021.2.3,59.98512636866012,
1,11,untimed,09,sitting,noswitch,incongruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.40830898284912,None,89.4081380367279,None,1,1,0.4197418689727783,89.4081380367279,None,89.96708583831787,None,,,,,1000,001,09,2021_Nov_02_1727,task-switching-replication,2021.2.3,59.98512636866012,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1958520412445,None,91.1962559223175,None,2,0,0.6116700172424316,91.1962559223175,None,,,,,,,,,,,,,,
