blockNum,trialNum,trialType,condition,posture,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,cueFileName,stimuliFileName,correctAnswer,untimedTrials.thisRepN,untimedTrials.thisTrialN,untimedTrials.thisN,untimedTrials.thisIndex,selectIncorrectResponseSolid1.thisRepN,selectIncorrectResponseSolid1.thisTrialN,selectIncorrectResponseSolid1.thisN,selectIncorrectResponseSolid1.thisIndex,selectIncorrectResponseDashed1.thisRepN,selectIncorrectResponseDashed1.thisTrialN,selectIncorrectResponseDashed1.thisN,selectIncorrectResponseDashed1.thisIndex,timedTrials.thisRepN,timedTrials.thisTrialN,timedTrials.thisN,timedTrials.thisIndex,selectIncorrectResponseSolid2.thisRepN,selectIncorrectResponseSolid2.thisTrialN,selectIncorrectResponseSolid2.thisN,selectIncorrectResponseSolid2.thisIndex,selectTimeoutSolid2.thisRepN,selectTimeoutSolid2.thisTrialN,selectTimeoutSolid2.thisN,selectTimeoutSolid2.thisIndex,selectIncorrectResponseDashed2.thisRepN,selectIncorrectResponseDashed2.thisTrialN,selectIncorrectResponseDashed2.thisN,selectIncorrectResponseDashed2.thisIndex,selectTimeoutDashed2.thisRepN,selectTimeoutDashed2.thisTrialN,selectTimeoutDashed2.thisN,selectTimeoutDashed2.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_5.started,image_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_6.started,image_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_7.started,image_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image_8.started,image_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_9.started,image_9.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,image_10.started,image_10.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_11.started,image_11.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,utcTime,cue_untimed_image.started,cue_untimed_image.stopped,stimuli_untimed_image.started,stimuli_untimed_image.stopped,untimed_resp.keys,untimed_resp.corr,untimed_resp.rt,untimed_resp.started,untimed_resp.stopped,text_2.started,text_2.stopped,sound_1.started,sound_1.stopped,image_2.started,image_2.stopped,image_12.started,image_12.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_13.started,image_13.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,cue_timed_image.started,cue_timed_image.stopped,stimuli_timed_image.started,stimuli_timed_image.stopped,timed_resp.keys,timed_resp.corr,timed_resp.started,timed_resp.stopped,sound_4.started,sound_4.stopped,image_15.started,image_15.stopped,timed_resp.rt,sound_3.started,sound_3.stopped,image_14.started,image_14.stopped,participant,session,condition,date,expName,psychopyVersion,frameRate,
1,2,untimed,09,sitting,switch,incongruant,solid,square,blue,stimuli/solid-rectangle.png,stimuli/blue-square.png,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474750.0270624,84.92387795448303,None,85.89603686332703,None,2,0,0.5851600170135498,85.89603686332703,None,,,86.60512948036194,87.656583070755,86.63810992240906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
1,2,untimed,09,sitting,switch,incongruant,solid,square,blue,stimuli/solid-rectangle.png,stimuli/blue-square.png,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.66055703163147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
1,3,untimed,09,sitting,switch,congruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474756.8985784,91.857754945755,None,92.82872891426086,None,1,1,0.5698239803314209,92.82872891426086,None,93.50439095497131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
1,4,untimed,09,sitting,switch,incongruant,solid,square,yellow,stimuli/solid-rectangle.png,stimuli/yellow-square.png,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474758.6561823,93.73380994796753,None,94.70341897010803,None,2,1,0.43349289894104004,94.70341897010803,None,95.2615749835968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
1,5,untimed,09,sitting,noswitch,incongruant,solid,triangle,blue,stimuli/solid-rectangle.png,stimuli/blue-triangle.png,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474760.2322628,95.49079895019531,None,96.46161198616028,None,1,1,0.27457284927368164,96.46161198616028,None,96.83819603919983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
1,6,untimed,09,sitting,switch,congruant,dashed,triangle,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-triangle.png,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474762.6512325,97.06788897514343,None,98.0405478477478,None,1,1,1.1133019924163818,98.0405478477478,None,99.25802087783813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
1,7,untimed,09,sitting,noswitch,incongruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,2,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474764.2909873,99.48802304267883,None,100.45969796180725,None,2,1,0.28237199783325195,100.45969796180725,None,100.8964319229126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
1,8,untimed,09,sitting,switch,incongruant,solid,triangle,blue,stimuli/solid-rectangle.png,stimuli/blue-triangle.png,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474766.1065285,101.12672591209412,None,102.09649586677551,None,1,1,0.5079901218414307,102.09649586677551,None,102.7126829624176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
1,9,untimed,09,sitting,switch,incongruant,dashed,square,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-square.png,2,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474768.0449677,102.94238686561584,None,103.91232585906982,None,2,1,0.5791151523590088,103.91232585906982,None,104.65057802200317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
1,10,untimed,09,sitting,switch,congruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636474770.459572,104.87997484207153,None,105.85026097297668,None,2,1,1.0982708930969238,105.85026097297668,None,107.06595087051392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,09,2021_Nov_09_1018,task-switching-replication,2021.2.3,60.018602414879645,
